region_code,district_name,district_code,capital
111,Asunafo North Municipal,111-ANM,Goaso
111,Asunafo South District,111-ASD,Kukuom
111,Asutifi North District,111-ATN,Kenyase
111,Asutifi South District,111-ATS,Hwidiem
111,Tano North Municipal,111-TNN,Duayaw Nkwanta
111,Tano South Municipal,111-TNS,Bechem
222,Adansi Asokwa District,222-ADA,Akrokerri
222,Adansi North District,222-ADN,New Edubiase
222,Adansi South District,222-ADS,Fomena
222,Afigya Kwabre North District,222-AKN,Nsuta
222,Afigya Kwabre South District,222-AKS,Barekese
222,Ahafo Ano North Municipal,222-AHN,Tepa
222,Ahafo Ano South East District,222-ASE,Mankranso
222,Ahafo Ano South West District,222-ASW,Kumaso
222,Amansie Central District,222-AMC,Jacobu
222,Amansie South District,222-AMS,Manso Nkwanta
222,Amansie West District,222-AMW,Manso Amenfi
222,Asante Akim Central Municipal,222-AAC,Konongo
222,Asante Akim North District,222-AAN,Agogo
222,Asante Akim South Municipal,222-AAS,Juaso
222,Asokwa Municipal,222-ASM,Asokwa
222,Atwima Kwanwoma District,222-ATK,Foase
222,Atwima Nwabiagya Municipal,222-ATN,Nkawie
222,Atwima Nwabiagya North District,222-ANN,Nyinahin
222,Bekwai Municipal,222-BKM,Bekwai
222,Bosome Freho District,222-BFD,Asiwa
222,Bosomtwe District,222-BSD,Kuntanase
222,Ejisu Municipal,222-EJM,Ejisu
222,Ejura Sekyedumase Municipal,222-EJS,Ejura
222,Juaben Municipal,222-JBM,Juaben
222,Kumasi Metropolitan,222-KMA,Kumasi
222,Kwabre East District,222-KED,Mamponteng
222,Kwadaso Municipal,222-KWM,Kwadaso
222,Mampong Municipal,222-MPM,Mampong
222,Manhyia North Municipal,222-MNM,Kumasi
222,Manhyia South Municipal,222-MSM,Kumasi
222,Offinso Municipal,222-OFN,Offinso
222,Offinso North District,222-OFD,Abofour
222,Oforikrom Municipal,222-OFM,Oforikrom
222,Old Tafo Municipal,222-OTM,Old Tafo
222,Sekyere Central District,222-SCD,Effiduase
222,Sekyere East District,222-SED,Effiduase
222,Sekyere Kumawu District,222-SKD,Kumawu
222,Sekyere South District,222-SSD,Agona
222,Suame Municipal,222-SUM,Suame
333,Atebubu Amanten Municipal,333-AAM,Atebubu
333,Kintampo North Municipal,333-KNM,Kintampo
333,Kintampo South District,333-KSD,Jema
333,Pru East District,333-PRE,Yeji
333,Pru West District,333-PRW,Prang
333,Sene East District,333-SNE,Kwame Danso
333,Sene West District,333-SNW,Atebubu
333,Techiman Municipal,333-TCM,Techiman
333,Techiman North District,333-TND,Tuobodom
444,Banda District,444-BND,Banda Ahenkro
444,Berekum East Municipal,444-BEM,Berekum
444,Berekum West District,444-BWD,Jinijini
444,Dormaa East District,444-DRE,Wamfie
